Source name	Young's modulus (Pa)	Contact X (μm)	Contact Y (pN)	Transition indent (μm)	Transition force (pN)	Deformation (μm)	Adhesion force (pN)	R Squared	Spring const (N/m)	Sensitivity (μm/V)	Tip geometry	Batch	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.02.38.706.jpk-force	88.6096	2.0581	-191.9178	1.4201	447.6216	1.8327	102.1711	0.9699	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.10.42.672.jpk-force	-2.6937	5.6463	-307.1842	7.8584	-150.1071	8.0611	183.5025	0.9131	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.06.08.618.jpk-force	133.9268	1.6434	-418.0787	1.5745	748.6284	1.5745	46.8877	0.9867	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.13.38.455.jpk-force	58.8647	2.9569	-512.8673	2.323	608.0621	2.4242	106.9722	0.9918	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.06.49.879.jpk-force	120.2878	1.8486	-454.4313	1.712	773.496	1.712	75.8236	0.9967	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.12.57.502.jpk-force	81.4349	2.4468	-479.4351	1.9436	652.6538	1.9488	37.3374	0.9903	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.21.20.769.jpk-force	-1.7812	3.9872	-576.7026	6.3802	-80.3572	6.3802	14.4054	0.917	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.31.21.843.jpk-force	119.1427	9.448	-710.0001	1.5304	636.5796	1.5304	71.6539	0.9969	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.28.30.438.jpk-force	-4.6358	-1.269	-801.2209	1.0988	-21.8015	1.0988	14.7947	0.2467	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-16.07.52.685.jpk-force	33.2966	10.253	-1101.1935	3.5657	598.7457	3.5657	13.6684	0.9821	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.29.18.372.jpk-force	139.6696	0.8365	-822.9657	1.4774	723.3474	1.4926	210.5859	0.9971	0.0324	0.0217	Paraboloid (Hertz)	2	
/home/jorge/Documentos/kruno/50ppm/force-save-2019.11.19-15.12.38.856.jpk-force	2.7131	-0.356	-538.5129	2.0232	19.7791	2.0232	26.8707	0.2958	0.0324	0.0217	Paraboloid (Hertz)	2	
