Source name	Young's modulus (Pa)	Contact X (μm)	Contact Y (nN)	Transition indent (μm)	Transition force (pN)	Deformation (μm)	Adhesion force (pN)	R Squared	Spring const (N/m)	Sensitivity (μm/V)	Tip geometry	Batch	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.36.59.552.jpk-force	-1.0467	5.5069	-2.6446	5.4782	-12.8509	6.1202	52.773	-0.4768	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.50.16.837.jpk-force	-2.4021	5.2127	-1.5952	5.699	-105.0365	5.699	64.2258	0.9212	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.49.30.169.jpk-force	234.581	7.5873	-1.4335	0.9427	613.7218	0.9427	111.2821	0.9971	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.32.48.509.jpk-force	125.8422	3.7695	-1.8321	1.4615	646.2708	1.4932	195.6528	0.9865	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.34.39.621.jpk-force	146.8337	2.2818	-2.1464	1.392	698.5546	1.3936	100.1835	0.9958	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.47.09.312.jpk-force	124.4616	5.2476	-1.0832	1.4189	608.6027	1.4707	84.5668	0.9943	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.44.26.264.jpk-force	180.1367	6.7165	-0.6196	0.9483	497.5097	1.0691	211.0434	0.9751	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.51.19.131.jpk-force	102.9742	2.086	-1.8084	1.3817	510.8947	1.6124	27.7555	0.9541	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.33.02.803.jpk-force	113.9632	3.2674	-1.915	1.577	653.9777	1.6227	212.827	0.9953	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.28.34.281.jpk-force	93.8019	5.2076	-0.5647	1.7637	637.709	1.8017	80.0396	0.9932	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.35.25.908.jpk-force	171.601	4.5537	-2.2879	1.2229	668.9232	1.2229	84.6412	0.9968	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.49.14.759.jpk-force	212.5417	7.3525	-1.4231	1.064	632.3932	1.0933	118.1373	0.9763	0.0316	0.0234	Paraboloid (Hertz)	3	
